대표메뉴명,요리재료,출처
어묵볶음,사각어묵 양파 당금 참깨 식용유 고춧가루 간장 참기름 굴소스 올리고당 다진마늘,만개의 레시피(추천순)
계란말이,계란 백설탕 건다시마 소금 식용유 가다랑어포 맛술 무 진간장 청차조기잎,일식조리기능사
두부조림,두부 대파 실고추 검은후춧가루 참기름 소금 마늘 식용유 진간장 깨 흰설탕,한식조리기능사
멸치볶음,멸치 다진파 다진마늘 통깨 견과류 간장 올리고당 설탕 마요네즈,만개의 레시피(추천순)
콩나물무침,콩나물 참기름 소금 통깨 쪽파 당근,만개의 레시피(추천순)
감자조림,마늘 대파 소고기 청고추 감자 간장 설탕 깨 후추가루 식용유 참기름,한국 조리산업기사
시금치무침,시금치 간장 꽃소금 통깨 다진마늘 참기름,만개의 레시피(추천순)
오이무침,오이 양파 고추장 고춧가루 설탕 올리고당 다진마늘 간장 식초 참기름 통깨,만개의 레시피(추천순)
소고기장조림,설탕 깨 청주 생강 꽈리고추 메추리알 참기름 간장 마늘 대파 소고기,한국 조리산업기사
소세지야채볶음,비엔나소세지 양파 파프리카 당근 식용유 케찹 고추장 굴소스 올리고당 다진마늘,만개의 레시피(추천순)
