Menu,Ingredient,Recipe
패밀리레스토랑 부럽지 않은 홈스토랑 양송이수프!!,"['양송이버섯6개', '양파1/4개', '버터1T', '밀가루1T', '우유2cup', '소금약간', '후추약간', '슬라이스치즈1장', '파슬리가루약간', '식빵약간']","['버섯 1/2분량은 잘게 다지고 1/2분량은 슬라이스한다.양송이버섯 6개', '양파는 잘게 다진다.양파 1/4개', '팬에 버터와 밀가루를 넣어 루를 만든다.밀가루 1T, 버터 1T팬', '다진 양파를 넣어 볶다가 양송이버섯을 넣어 볶는다.', '버섯이 반정도 익으면 우유를 붓고 치즈를 넣어 저으며 끓인다.우유 2cup, 슬라이스 치즈 1장', '한소끔 끓으면 소금과 후추로 간을 한다.소금 약간, 후추 약간소금은 기호에 따라 가감한다.', '그릇에 담아 준 후 식빵조각과(크루통) 파슬리가루를 올려 장식한다.파슬리가루 약간, 식빵 약간']"
집에서 게살스프를? 중국식 달걀탕(계란탕) 만들기!,"['크래미1봉지(5개입)', '계란2알', '양파1/2개', '전분가루2스푼', '표고버섯1개', '팽이버섯1개', '대파1/2개', '진간장1스푼', '굴소스1스푼', '소금0.3스푼', '식용유1스푼']","['먼저 파기름을 만들어 줄거예요.달궈진 냄비에 식용유 살짝 두르고 대파를 총총썰어 먼저 볶아주세요.', '대파가 어느정도 볶아지면양파 1/2개를 슬라이스해서 함께 볶아주세요.', '양파까지 다 볶아지면 표고버섯 한개 넣고진간장 1스푼, 굴소스 1스푼 넣어 한번 더 볶아주세요.', '표고버섯까지 어느정도 볶아지면 팽이버섯 넣어준뒤 한번 더 휙휙 볶기 ! 팽이버섯은 좀 꼬들하게 씹히는 식감이 좋아서 볶는 단계 중에선 제일 마지막에 넣어주었어요~', '팽이버섯은 많이 볶지 않아도 괜찮아요 ;)양념이 골고루 묻을 정도로 볶아주시면 돼요.', '물 700ml 넣고 팔팔 끓여주세요~', '육수가 끓을동안 크래미를 잘게 찢어 준비해주세요.게살을 사용하면 진짜 게살스프마냥 맛있었겠지만게살이 없는 관계로 크래미 사용했어요!', '육수가 끓어오르면 크래미 투하~', '모자란 간은 소금으로! 소금 요맨큼~ 넣어주었어요 ㅋㅋㅋㅋㅋㅋ', '중국식 달걀탕은 걸죽한 매력이 있지요.걸죽함은 전분물로 만들어줄건데요전분가루 2스푼 + 물 2스푼 넣고 잘 섞어 전분물 만들어주기!', '끓고 있는 중국식 달걀탕은 약불로 줄이고 전분물 넣어주시는데잘 저어주셔야해요.잘 저어주시지 않으면 전분이 덩어리 지거든요!', '계란은 2알 사용했어요.계란 톡 까서 잘 섞어 준비해주세요.', '팔팔 끓고 있을때 계란물 넣어줄거예요.', '계란물 넣고 불은 바로 꺼주세요.(★이게 진짜 꿀팁★)그래야 진짜 보들보들한 중국식 달걀탕이 만들어져요!!', '먹기좋은 그릇에 옮겨 담으면 끝 ;)중국음식 스멜이 솔솔 나는 중국식 달걀탕 완성입니다~~', '계란을 풀고 불을 바로 껐기때문에 계란이 진짜 보들보들 ㅠㅠ게살인듯 게살아닌 크래미가 들어갔으나 어쨋든 자기도 게는 게라고게살스프 맛이 나요... ㅠㅠㅠㅠㅠ집에서 이거 가능한거였어 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ후후 불어 입에 후루룩 넣으면 꼬독꼬독 씹히는 팽이버섯과 부드러운 계란, 게살 향이 어우러지면서몸이 스르륵 녹는...뭐..그런맛이예요.. !꼭 만들어보세요']"
달달하고 고소한 고구마 스프 (With 크루통),"['고구마(중)2개', '우유200ml', '양파1/3개', '슬라이스치즈2장', '소금약간', '버터약간', '물적당량', '자투리식빵적당량', '버터약간']","['고구마는 깨끗이 씻은 뒤 껍질을 벗기고 잘게 잘라 준 뒤 끓는 물에 10분간 삶아주세요.고구마 2개, 물냄비센불', '고구마를 삶는 동안 달군 후라이팬에 버터를 조금 넣은 뒤버터 조금후라이팬중불', '채 썬 양파를 넣고 갈색빛이 날 때까지 타지 않게 잘 볶아주세요.채썬 양파후라이팬, 조리개중불', '삶은 고구마는 체에 밭쳐 물기를 제거한 뒤 한 김 식혀주고삶은 고구마, 볶은 양파믹서', '볶은 양파도 한 김 식혀준 후에 믹서기에 넣고 갈아주세요.삶은 고구마, 볶은 양파믹서', '이때 고구마와 양파가 잘 안 갈아지면준비해 놓은 우유를 같이 넣고 갈아주세요.저는 3 큰 술 넣었어요.우유 조금믹서', '잘 갈아진 고구마와 양파는 냄비에 담아서 갈린 고구마와 양파냄비', '남은 우유를 다 붓어 준 뒤 고르게 섞어 준 후 약불에서 끓여주세요. 우유약불', '끓기 시작하면 슬라이스 치즈 두장을 넣고 치즈가 녹을 때까지 고르게 저어주면서 바글바글 끓여주세요. 간을 보고 부족하다 싶으면 소금간 해주세요.슬라이스 치즈 2장, 소금약간약불', '그릇에 고구마 스프를 담고 자투리 식빵으로 만든 크루통을 얹어주면 고구마 스프 완성이에요.식빵 크루통은 달군 후라이팬에 버터를 두른 뒤약불 상태에서 식빵을 노릇노릇하게 볶아주면 됩니다.']"
캔옥수수를 활용한 고소한 '콘스프' 초간단 레시피,"['캔옥수수1캔', '우유300ml', '양파1/4개', '버터1/2T', '슬라이스치즈1개', '소금약간', '후추약간', '식빵약간', '파슬리가루톡톡']","['양파는 얇게 채 썰어 달궈진 팬에 버터와 함께 달달달 볶아줍니다', '양파가 투명해지면 물기 뺀 캔옥수수도 같이 볶아 주세요', '방금 볶은 양파,옥수수에 우유를 넣고 갈아 줍니다.', '깔끔한 스프를 위해 체에 한번 걸러 줍니다.', '냄비에 끓여주시다가 어느정도 걸쭉해지면 슬라이스 치즈 한장을 녹여주세요. 부족한 간은 소금과 후추로 맞춰 주시면 끝!', '캔옥수수를 활용한 고소한 콘스프 완성이에요. 선택사항으로 파슬리가루 톡톡 뿌려주신 뒤 먹고 남은 식빵을 잘게 썰어 팬에 바싹 구워 크루통을 만들어 올려주심 더 맛있어 보입니다', '한입 먹어보니 고소름하면서 꼭 경양식 집에서 먹어본 스프맛이 나면서 맛있어요. 아침식사 대용이나 아이들 간식으로도 좋습니다.']"
#다이어트 식단#순두부,"['순두부1kg', '달래500원동전', '고춧가루1스푼', '간장4큰술', '설탕1/2스푼', '올리고당1큰술', '식초1큰술', '다진마늘1/2스푼', '참기름약간', '통깨적당히']","['순두부만 있으면 체중 ↓', '순두부를 냄비에 담아주세요.', '달래 500원 동전 둘레 정도 잡아 잘게잘게 썰어주세요.', '물 100~150ml을 붓고 보글보글 끓여주세요.', '다진 달래, 고춧가루 1스푼, 간장 4큰술, 식초 1큰술, 설탕 반스푼, 올리고당 1큰술, 참기름 반스푼, 통깨 적당히 양념장을 만들어 주세요.다진마늘 넣어도 맛있음!올리고당이 없다면 매실청 대체 가능!새콤달콤한 맛을 원하면 식초 in 오리지널 맛을 원하면 식초 생략!', '달래 양념장 살짝 타서 뜨끈뜨끈하게 드세요.']"
감자스프 생크림없이도 맛있게 만들기,"['감자2개', '양파1/2개', '버터1스푼', '우유1컵', '다진마늘1/3스푼', '소금적당량', '후추적당량', '식용유약간', '식빵1장']","['전자레인지 가능용기에 감자 두 개를 깍뚝 썰어 넣고 물 3스푼과 소금 1티스푼을 넣고 섞어 감자삶기 모드로 삶아주세요전자레인지전자레인지 사양마다 다르지만 평균 8분정도 삶아주면 적당해요 ', '익은 감자는 매셔나 국자를 이용해 부숴주세요', '양파 반 개를 얇게 슬라이스 해주고', '식용유 살짝 두른 팬에 볶다가 버터도 한 스푼 추가해주고', '노릇한 색이 나올 때까지 카라멜라이징해주세요', '핸드블렌더나 믹서기에 으깬감자와 볶은 양파, 다진마늘 1/3스푼, 우유 1컵을 넣고 곱게 갈아줍니다', '냄비에 옮겨 우유를 추가해 농도를 조절하고 소금, 후추로 입맛에 맞게 간을 맞춰줍니다', '(선택재료) 식빵을 한입크기로 썰어준 후 기름 없는 마른팬에 볶아 크루통을 만들어주세요', '볼에 스프를 담아주고크루통과 파슬리를 곁들여 완성해요!']"
[식약처] 알파벳 스프,"['양파1cm정사각형14g', '샐러리1cm정사각형7g', '당근1cm정사각형7g', '마늘다진것1g', '식용유1g', '닭육수150g', '후추적당량', '소금적당량', '월계수잎', '알파벳파스타20g']","['냄비에 기름을 두르고 중간불로 열을 가열한다.', '1에 양파, 셀러리, 당근을 넣고 색이 나지 않도록 부드러워 질 때까지 볶는다.', '야채가 익을 때 쯤 마늘을 넣고 볶는다.', '3에 닭육수, 후추, 월계수잎을 넣고 끓인다.', '중간불로 줄이고 35분 정도 은근하게 끓인다.', '여기에 알파벳 파스타를 넣고 약 10분간 저어주며 끓인다.']"
이하늬 건강 다이어트 요리 '단호박 스프' 초간단 레시피,"['단호박1개', '양파1개', '우유적당히', '올리브유적당히']","['먼저 단호박은 껍질을 벗기고 속을 파내서 깔끔하게 손질할껀데요. 단호박은 껍질이 단단해 손질할때 손다치기 쉽지요!이럴때 이하늬씨의 방법은 3분정도 전자렌지에 돌려주신 뒤 감자칼로 껍질을 벗기면 쉽게 벗겨진다고 하네요. 그 다음 단호박을 반으로 잘라 수저로 속을 깔끔히 파 내주세요전자레인지', '손질한 단호박은 얇게 채 썰어 주신뒤 조각조각 내 줍니다', '양파도 잘게 썰어주신 뒤 냄비에 올리브유를 적당히 두르고 양파가 투명해질때까지 볶아주세요', '볶은 양파에 손질한 단호박을 넣어주신 뒤 재료가 잠기도록 우유를 부어 끓여 주세요. 우유는농도에 맞게 조절해주시면 되고 쉽게 끓어오르거나 탈수 있으니 주걱으로 계속 저어 주셔요', '농도가 딱 알맞게 끓여 졌는데 더 부드러운 식감을 위해 핸드믹서로 한번더 갈아주었습니다.이대로 드셔도 되고 좀더 모양을 내시려면 크루통과 파슬리가루로 데코해주시면 끝!', '이하늬씨표 건강다이어트 요리!단호박 스프 완성입니다', '단호박의 노란빛깔이 군침도는데요.한입 먹어보니 달콤하면서도 무척 담백하고 입에서 살살 녹아요. 저는 아무간도 하지 않아도 참 맛있었는데 기호에 따라 후추약간이나 소금약간 추가해서 드셔도 될듯 합니다^^']"
[식약처] 단호박 스프,"['버터2g', '마늘1g', '양파10g', '샐러리5g', '생강1g', '닭육수100g', '단호박50g', '고구마15g', '우유10g', '라임주스1g', '생크림5g', '소금적당량', '후추적당량']","['냄비에 버터를 녹인 후 마늘, 양파, 셀러리, 생강을 넣고 볶는다.', '양파와 셀러리가 부드러워지면 닭육수를 넣는다.', '2에 단호박, 고구마를 넣고 단호박이 부드러워질 때까지 약한불로 끓인다.', '단호박이 다 익으면 믹서에 부드러운 상태가 되도록 간다.', '4를 다시 냄비에 넣고 중간불로 끓인다.', '5에 우유, 라임주스, 소금, 후추, 크림을 넣어 마무리한다.']"
[식약처] 완두콩 스프,"['다진양파10g', '다진샐러리5g', '베이컨13g', '완두콩80g', '육수120g', '생크림2g', '소금적당량', '후추적당량']","['양파와 셀러리는 다지고, 베이컨은 적당한 크기로 자른다.', '팬에 베이컨을 넣고 볶다가 양파, 셀러리를 넣고 색이 나지 않게 볶는다.', '야채가 볶아지면 완두콩을 넣고 충분히 볶아준다.', '완두콩이 반 정도 익으면 육수를 넣고 푹 끓여준다.', '완두콩이 다 익으면 믹서에 간 뒤 체에 걸러낸다.', '5를 냄비에 옮기고 기호에 맞게 소금, 후춧가루, 생크림을 넣는다.']"
