Menu,Ingredient,Recipe
고추장토마토스파게티:오징어가 들어가 쫄깃매콤한 파스타,"['스파게티면100g', '토마토소스', '고추장', '오징어', '새송이버섯', '양파', '당근', '마늘', '술', '파프리카가루', '파마산치즈가루']","['오징어의 몸통을 굴게 채썰고 술을 살짝 뿌려준다.', '새송이 버섯, 당근 등 재료는 잘게 다진다. 재료는 집에 있는 뭐든 넣으면 된다.', '올리브유를 넣고 마늘과 양파를 타지 않게 볶다가 나머지 재료를 넣고 볶는다.', '고추장 한 스푼을 넣어 재료와 볶아준다.', '시판용 토마토소스를 넣고 끓인다.', '끓는 물에 올리브유와 소금을 넣고 스파게티면을 10분정도 삶는다.', '팬에 올리브유를 두르고 삶은 스파게티면을 볶다가 준비된 소스를 넣어 버무려준다.', '스파게티를 접시에 담고 파마산치즈가루와 파슬리가루를 뿌린다.']"
홈파티 음식 코코넛 오일 레몬으로 이국적이고 특별한 감바스 만들기,"['칵테일새우적당량', '올리브유1/2컵', '코코넛오일2큰술', '레몬1개', '마늘약12알', '브로콜리1/2개', '고춧가루1스푼', '방울토마토4알', '땡초1개', '소금1꼬집', '후추\u200b1꼬집']","['레몬은 깨끗하게 씻어서 껍질 그대로 썰어주세요!', '감바스에 빼놓을 수 없는 마늘!! 통마늘을 좋아하시는 분 들 께서는 그냥 넣어도 좋지만 칼로썰어서 적당한 크기로 손질해 주세요!', '칵테일 새우는 물에 10분 정도 담가서 비린내를 재거해 주신 후고춧가루 한 스푼 넣어주세요', '골고루 섞어주세요!', '후추 한 꼬집을 넣고 섞어주세요.', '소금도 한 꼬집 넣어주세요!', '레몬즙으로 상큼한 맛을 내줍니다!!', '다시 골고루 섞어주세요!', '재료손질도 하고 새우도 양념을 모두 마치셨으면팬에 올리브유를 자작하게 부어주세요!', '기름이 끓기 시작하면 마늘부터 넣고', '잘게 썰은 청양고추 1개도 넣어줍니다.', '슬라이스 한 레몬 두 덩어리를 투하해 주세요.', '향을 낼 수 있도록 코코넛 오일 두 스푼을 추가해 줄겁니다.', '코코넛 오일도 넣었으면양념한 새우를 투하해 주시고새우와 마늘이 모두 익을 정도로 팔팔 끓어줍니당', '방울 토마토도 4개 정도 넣어줍니다!토마토를 저렇게 뜨겁게 먹으면 맛있거든요 ㅎㅎ 보기에도 에쁘고 !!', '마늘과 새우가 모두 익었으면 완성입니당 !!!', '찍어 먹을 빵 까지 준비하면코코넛 향이 은은하게 느껴지면서 레몬의 상큼함이 기름의 느끼함까지 잡아주고 달콤 고소 짭짤한 감바스의 맛을 느끼실 수 있어요!!!달콤 고소 짭짤한 감바스의 맛을 느끼실 수 있어요!!!이국적이지만 호불호가 별로 갈리지 않을 것 같은 그런 맛!!여러분 들도 꼭 해 드셔보시길 바랍니다 ㅎㅎㅎ']"
돼지고기와 김치의 꿀조합 김치 파스타 만들기,"['파스타면200g', '소금1큰술', '김칫국물8큰술', '검은깨약간', '올리브유1큰술', '다진김치8큰술', '돼지고기100g', '우유2컵', '생크림1/2컵', '화이트와인2큰술', '소금약간', '후춧가루약간']","['끓는 물에 스파게티면과 소금 1큰술을 넣어 10분정도 삶아줍니다.스파게티면200g, 소금 1큰술', '스파게티면이 익는 동안 달군 팬에 올리브유를 두르고 다진 김치를 넣어 볶아줍니다.올리브유1큰술, 다진 김치 8큰술', '잘게 썬 돼지고기를 넣어 볶아줍니다.돼지고기100g', '돼지고기가 반쯤 익으면 김치국물 8큰술, 생크림 1/2컵, 우유 2컵, 화이트와인 2큰술, 후춧가루, 소금 약간을 넣어 끓여줍니다.김치국물 8큰술, 생크림 1/2컵, 우유 2컵, 화이트와인 2큰술, 후춧가루, 소금 약간', '돼지고기가 익으면 물기 뺀 스파게티면을 넣어 볶아줍니다.', '소스가 자작해지면 접시에 담아 검은 깨를 뿌려줍니다.검은 깨 약간']"
only유 화이트 감바스 알리올리 잡채,"['only유화이트80ml', '건바질1g', '후추1g', '소금3g', '불린넙적당면100g', '페퍼론치노6개', '알새우8개', '통마늘6개', '부추3g']","['냄비에 소금약간 only유기름 약간을 넣고 끓인후불린당면을 3~4분동안 끓여준 후체로 걸러서 물기를 제거 해둡니다.너무 퍼지지않게 주의 해줍니다.절대로 찬물에 행구시면 안됩니다. 떡지지 않게만 주의 해주세요.', '부추를 0.3cm길이로 총총 썰어줍니다.', '통마늘을 2~3등분 해줍니다.', '팬을 중불에 올리고 only유 화이트를 넣고불이 올라오면 페퍼로치니와 마늘을 달달 볶아줍니다.', '새우를 투입해주고 소금과 후추 바질을 뿌려 향과 간을 줍니다. 마늘이 노릇해지고 새우가 잘익으면 불에서 내려줍니다.중간에 토치로 그슬려주면 불맛도 같이납니다.', '접시에 당면을 담고 썰어준 부추의 반을 흩뿌려줍니다.', '새우와 마늘 페퍼로치니를 모양있게 위에 올려줍니다.', '위에 부추를 장식해준후 새우를 볶으면서 나온 기름을 골고루 뿌려줍니다.모양에 신경안쓰실분은 5번단계에서 당면을 바로 투입해서 볶아주셔도 무방합니다!']"
고구마 크림스튜,"['닭가슴살300g', '고구마1개', '피망1개', '양파1/4', '식용유1큰술', '생크림500ml', '물1/2컵', '소금1/2', '통후추간거약간', '통밀푸슬리300g', '아몬드슬라이스1줌', '청주2큰술', '다진마늘작은술', '소금1꼬집', '통후추약간']","['재료를 준비합니다', '고구마 , 피망, 양파를 같은 크기로 썰어줍니다.', '닭가슴살을 한입 크기고 썬 후 밑간과 버무린다.청주2큰술, 다진마늘 작은술, 소금 약간, 통후추 약간', '깊은팬에 달궈 식용유, 닭다리살을 넣고 센 불에서 2분간 볶습니다.중불', '고구마, 양파를 넣어 3분간 더 볶아줍니다.', '(나만의 팁)통밀 푸실리를 끓는 물에 7분 삶아줍니다', '생크림, 물, 소금 1/2작은술을 넣고 끓어오르면 중간 불로 줄여 10분간 끓여줍니다.', '데친 통밀 푸실리를 넣어줍니다.', '피망을 넣고 1분간 저어가며 끓여주고, 통후추와 소금으로 부족한 간을 더해줍니다.', '(나만의 팁) 고소하고 바삭한 식감의 아몬드 슬라이스를 넣어줍니다.']"
녹두 팬케이크,"['불린녹두1컵', '감자1개', '묵은지100g', '새송이버섯1개', '애호박1/2개', '청고추1개', '홍고추1개', '메이플시럽2~3T', '숙주한주먹', '돼지고기한줌', '식용유2~3T', '다진마늘1/2T', '참기름1/3T', '후추한꼬집']","['씻은 묵은지를 1cm 크기 정도로 썰어 줍니다.', '새송이버섯과 애호박을 다져줍니다.', '청고추와 홍고추를 썰어 줍니다.', '불린 녹두와 감자를 분쇄기에 넣고 갈아줍니다.분쇄기가 혹시 고장날까봐 감자를 네 등분 해준 뒤 넣었습니다.', '다진 재료들을 반죽에 넣고 섞어 줍니다.데친 숙주를 넣어주면 식감이 살아요!', '달궈진 후라이팬에 식용유를 두르고 노릇하게 부쳐줍니다.돼지고기를 먼저 굽고, 그 위에 반죽을 올려 부치면 식감과 단백질 모두 잡을 수 있어요! 특히 숙주, 돼지고기, 녹두의 합이 조화를 이룹니다.', '청고추와 홍고추로 데코레이션을 해줍니다.', '완성된 전에 메이플시럽을 곁들어 먹습니다.전의 바삭함을 살리고 싶다면 찍어 먹어 보세요!']"
(극동대학교)파프리카 소스를 곁들인 牛리 한牛 양념 롤라드,"['소고기150g', '고구마30g', '당근25g', '숙주25g', '애호박25g', '청양고추15g', '마늘10g', '양파15g', '간장30ml', '설탕20g', '깻잎6장', '절임무6장', '파20g', '미나리10g', '액젓8ml', '고춧가루5g', '소금2g', '파프리카1개', '감자70g', '양파40g', '무염버터15g', '소금4g']","['간장과 설탕, 다진마늘, 다진양파로 양념을 만들어 소고기를 재워둔다.소고기,마늘,양파,간장,설탕간장과 설탕의 비율은 1대1이 맛이 좋습니다.', '당근과 애호박, 고추는 채로 썰어 볶아 준비하고 고구마는 삶아 갈아 준비 합니다. 그리고 숙주는 대쳐서 참기름과 소금으로 밑간을 해줍니다.당근,애호박,고추,고구마,숙주,참기름,소금,식용유고구마는 호박고구마를 사용하면 색과 맛이 잘 어울립니다.', '파프리카는 껍질을 제거하고 채썰어 준비하고 감자와 양파도 얇게 채썰어 준비한후 냄비에 무염버터를 둘러 파프리카와 감자, 양파를 넣어 볶다가 물을 넣고 졸입니다. 그리고 조린 후 믹서기에 갈아 소금으로 간을 하여 준비 합니다.파프리카,감자,양파,무염버터,소금1.파프리카 껍질쪽을 토치로 태우면 껍질이 잘 벗겨집니 다.2.감자와 양파는 파프리카 양 보다 적어야 합니다.', '파는 채로 썰어 액젓과 고춧가루, 소금을 사용하여 파절이를 만들고 미나리는 잎파리 제거 후 대쳐서 준비한다. 그리고 준비가 다 되면 깻잎-절임 무-파절이 순 으로 말아 미나리로 감아 준비한다.깻잎,절임 무,파,미나리,액젓,고춧가루,소금파절이로 만든 후 오래두면 물이 생기기 때문에 말기 직전에 합니다.', '재워둔 고기를 넓게 펴서 볶아둔 채소와 숙주, 고구마 무스를 넣어 말아 팬에 기름을 둘러 구어 준다.후라이팬,집게강불로 육즙이 안나오게 잡은 후 약불로 속까지 익혀줍니다.이음새 부분에 전분 가루를 뭍혀 잘 안떨어지게 만듭니다.', '완성된 롤라드를 한입크기로 잘라 깻잎 말이와 소스를 곁들여 완성 접시에 담아 마무리 한다.롤라드가 풀리지 않게 조금 식힌 후 잘라 줍니다.']"
꼬막 요리 / 꼬막 스튜,"['꼬막400g', '파프리카1/2개', '청양고추1개', '홍고추1개', '버터30g', '다진마늘2Ts', '소주100ml', '월계수잎5장', '토마토소스150g']","['꼬막은 삶아서 준비한다.', '파프리카는 채 썰어 준다.', '청양고추, 홍고추는 어슷 썬다.', '냄비에 버터, 다진 마늘을 넣고 볶는다.', '마늘의 향이 나면 준비한 재료를 넣고 볶는다.', '꼬막, 소주, 월계수잎, 토마토소스를 넣고 끓인다.']"
점식엔 식사로 저녁엔 술안주로 매콤한 골뱅이파스타 노오븐,"['양파반개/80그램', '팽이버섯반봉지/35그램', '대파1줄기/110그램', '통마늘5알/30그램', '골뱅이캔반캔/200그램', '페페론치노5알/2그램', '올리브오일40그램', '물50그램', '삶은스파게티면180그램']","['마늘,양파,골뱅이를 먹기좋은 크기로 썰어주세요', '팽이버섯은 밑둥을 자르고 손으로 먹기 좋게 뜯어주세요', '페페론치노는 잘게 다져주세요청양고추로 대채하셔도 됩니다', '대파는 길게 채썰어서 찬물에 담가 두세요파채있으시면 그거사용하세요', '팬에 올리브유를 넣고 마늘과 양파를 볶아주세요', '페페론치노 골뱅이,팽이버섯을 넣고 볶아주세요', '골뱅이물과 물을넣고 살짝 끓여주세요골뱅이물을 버리지 말고 꼭 넣어주세요', '삶은 스파게티를 넣고 볶다 간을해주세요전 간을 안해도 딱맞아서 먹어보시고 간보세요', '파채는 물기를 제거하고골뱅이물과 소금으로 간을 해준후에 접시 바닥에 깔아주세요다진청양고추나 페페론치노 넣어주셔도 뫃자요', '만든 파스타를 위에 올려주시면 됩니다']"
"촉촉한 오일을 빵에 찍어 먹는 그맛 ""감바스 알 아히요""","['새우10마리', '올리브오일2/3컵', '소금1/2수저', '치킨스톡1수저', '페페론치노4개', '마늘7알', '토마토7개', '브로컬리토마토크기7개', '파프리카가루1수저', '후추1/2수저']","['마늘을 편으로 썰어서 준비 한다', '방울토마토와 브로컬리는 따로 올리브오일과 후추로 먼저 볶아준다', '새우를 올리브오일, 후추, 소금, 파프리카 가루로 볶아준다', '올리브오일에 마늘, 후추, 소금을 넣고 중불에서 끓여준다', '마늘이 불투명하게 올라오면 치킨 스톡을 넣어준다', '토마토, 새우, 브로컬리를 넣기 전에 페페론치노, 파프리카 가루를 넣어주어 끓여준다']"
통인시장 기름 떡볶이 만들기,"['떡500g', '고추장1T', '고추가루2T', '다진마늘1T', '설탕1T', '맛술2T', '식용유2T', '버터1T', '참기름2T']","['떡을 깨끗이 씻어 물에 20분간 불려 준다.', '떡을 불리는 동안 양념장을 만들어 줍니다.고추장2T,고추가루 2T, 다진마늘 1T, 설탕 1T, 맛술2T', '불린 떡을 끓는 물에 3분간 데쳐 줍니다.말랑말랑해 질때까자 데쳐 줍니다.', '데친 떡을 찬물에 헹궈 물기를 쫙 빼줍니다.팬을 달구어 기름 4큰술넣고 버터 1큰술을 녹여 주세요.식용유 4T, 버터 1T', '버터가 녹으면 떡을 노릇노릇하게 구워 줍니다.', '떡이 노릇노릇하게 구워지면 양념장을 넣고 잘 버무려 줍니다.']"
"주방 선반에 숨쉬고 있는 스팸에게 자유를 쉽게 만드는 ""스팸마요""","['스팸1캔', '양파1/2개', '마요네즈1수저', '데리야끼소스1수저', '계란2알', '파1/4대', '설탕1수저', '쯔유1수저']","['양파 1/2개,파 1/4대,스팸1캔을 썰어준다', '계란 2알을 풀어서 준비한다', '후라이팬에 계란을 넣고 나무 젓가락으로 저어서 스크램블을 만들어준다', '후라이팬에 썰어놓은 양파,파와 쯔유 1수저를 넣고 볶아준다', '설탕 1수저를 넣고 양파 볶음을 만들어 준다', '스팸을 따로 볶아서 준비해준다', '밥위에 양파 볶음과 계란과 스팸을 올려주고마요네즈와 데리야끼 소스를 뿌려준다']"
수미네반찬 어묵우동 후회 안할 레시피,"['우동사리1개', '사각어묵2장', '애호박6cm1개', '대파1/2대', '청양고추1개', '표고버섯1개', '육수600ml', '국간장2큰술', '소금조금']","['애호박은 6cm크기로 잘라 돌려깎기해서 곁면만 채 썰어 준비해줬어요 애호박을 통째로 채 썰어 우동을 만들어 주면 안쪽부분이 금방 물러져 국물이 지져분하게 되더라구요 애호박 1개를 길쭉하게 썰어주면 우동면과 함께 먹을때 불편함이 없어요 건 표고버섯은 밑둥을 제거하고 채 썰어 줬어요 표고향이 은은하게 나는게 표고버섯이 들어가니 품격있는 어묵우동이 되더라구요 사각어묵은 돌돌 말아 채 썰어 주시면 될거 같아요 사각모양에서 제일 긴부분쪽으로 채 썰어주면 우동과 함께 먹기 편해요', '대파는 칼집을 내고 안쪽 부분을 제거한 뒤 돌돌말아 채 썰어줬어요 이게 더 깔끔하고 좋은거 같아요 안쪽부분은 버리지 말고 찌개나 국물요리할때 쓰면 될거 같아요 대파가 들어가니 깔끔한 맛이 잘 어울리는거 같아요', '육수 600ml를 넣고 육수가 끓으면 애호박, 표고 버섯, 대파, 청양고추를 넣고 한번 끓여주세요 한번 끓어 오르면 다진마늘 1/2큰술과 설탕 1/2큰술을 넣어주세요 애호박이 어느정도 익어가면 국간장 2큰술을 넣고 끓여주세요', '우동을 먼저 넣고 끓여준 뒤 어느정도 우동이 익으면 모자란 간을 소금으로 살짝 해주시고 썰어둔 어묵을 넣어주세요 어묵이 빨리 퍼지니 넣고 난뒤 1분안에 드시면 좋을거 같아요']"
