레시피 제목,요리명,요리재료,레시피내용
아삭아삭 시원한 설렁탕집 깍두기,설렁탕깍두기, 깍둑썬 사이다 대파 고춧가루 까나리액젓 새우젓 다진 설탕 사이다 소금,"['무는 껍질을 벗겨 큼지막하게 깍둑 썰고, 굵은 소금(1큰술)과 사이다(1/2컵)를 넣어 1시간정도 절여줍니다.', '대파(1/4뿌리)는 총총 썰고, 분량대로 양념장을 만들어주세요.', '1시간정도 절여진 무의 사이다는 따라버리고 흐르는물에 한벙 헹군 후~ 총총 썬 대파와 양념장을 넣어 버무려줍니다.', '통에 담아 실온에서 하루정도 익힌 뒤 냉장보관해 마무리. 깍두기는 익혀야 제맛이 난답니다.']"
상추 겉절이,상추겉절이, 상추 대파 간장 고춧가루 다진 식초 설탕 참기름 깨소금,"['상추(2줌)는 흐르는물에 깨끗이 씻어서 물기를 탈탈 털어 먹기 좋게 손으로 찢어줍니당. 오늘 제가 준비한 상추는 꽃상추라 불리는 포기상추 인데요. 이 상추는 그냥 된장에 쌈싸먹어도 정말 달짝지근하구 맛있어요.', '그리고 대파(1/4뿌리)는 총총 썰구요. 그담엔 밑 양념장 재료를 섞어서 겉절이 양념장을 만들어 준비해주시구용 간장(2.5큰술)+ 고춧가루(1큰술), 다진마늘(0.5큰술), 식초(0.5큰술), 설탕(0.3큰술), 참기름(0.3큰술), 깨소금(약간)', '상추와 대파와 양념장을 큰 볼에 넣고 섞어 마무리. 새콤달콤! 입맛 당기는~ 상추 겉절이 완성입니다요. 그냥 간단히 아침이나 저녁밥상에 딱히 메뉴가 없을때 간단히 만들어서 밥상에 내어보세요.']"
열무김치 담그기,열무김치, 열무 열무 굵은 물 고춧가루 까나리액젓 붉은고추 생강 마늘 밀가루 밀가루 물,[]
끝까지 먹을때까지 아삭함이 살아있는 오이소박이,오이소박이, 조선오이 절임 물 굵은 밀가루 물 물 밀가루 부추 양파 멸치액젓 새우젓 고춧가루 다진 다진 설탕 소금,"['오이는 굵은 소금으로 겉에 오돌도돌한 부분을 살살 문질러 씻어주고.', '오이 한 개를 4등분 정도 하고 끝부분 1cm 정도를 놔두고 열십자로 칼집을 내어 주기.', '절임물 재료인 물 8컵, 굵은 소금 4큰술을 냄비에 넣고 팔팔 끓여서 뜨거울때 오이에 부어주기.', '뜨거운 물을 확 들이부은 모습이예요. 뜨거울때 소금물을 부어도 절대 오이가 익지 않아요. 이렇게 절이면 오이가 나중에 물러지는 것을 방지할 수 있어요. 아삭함의 비밀은 바로 뜨거운 소금물 들이붓기.', '오이가 절여지는 동안 물 1컵+2분의 1컵, 밀가루 1.5큰술을 잘 섞어서 멍울 없이 풀고 뭉근하게 끓여서 풀을 쑤도록 합니다.', '끓인 밀가루풀이 완전히 식으면 거기에 씻어서 부추 자른 것 8줌-200g, 양파 잘게 썬 것 4분의 1개 분량, 멸치액젓 8큰술, 새우젓 2큰술, 고춧가루 7큰술, 다진 마늘 2큰술, 다진 생강 0.3큰술, 설탕 2큰술을 넣어줍니다.', '골고루 재빨리 부추의 풋내가 나지 않게 섞어 오이소박에 안을 채워줄 속을 만들어 주고.', '약 1시간 가량 절인 오이는 체에 밭쳐 물기를 쪼옥 빼주고.', '만들어 놓은 속을 넉넉하게 채워 넣어주기. 물기를 뺀 오이를 칼집을 낸 열십자 안쪽에 소를 적당히 안분해서 넣어주시면 되지요.', '작업하게 좋으라고 커다란 볼에서.', '다 담근 오이소박이는 차곡차곡 김치통에 가지런히 담아 하루(24시간)정도, 또는 그 이상이나 이하 입맛에 맞게 익혀서 냉장고나 김치 냉장고에 넣고 드시면 끝. 저는 따로 소금을 더 넣지는 않았는데요. 좀 짭잘하게 오래 드시겠다고 하시는 분들은 위에 윗소금 살짝 뿌려 주셔도 좋아요. 살짝만.']"
아삭아삭 오이배김치,오이배김치, 오이 배 소금 고춧가루 참치액젓 마늘 생강즙 소금 황설탕 현미식초 통깨,"['오이는 굵은소금으로 문질러 씻어준뒤 반으로 잘라 먹기좋은 크기로 썰어주세요. 소금 약간을 넣고 18-20분정도 절여주세요.', '오이가 절여지는 동안 양념장의 분량대로 미리 양념장을 만들어두세요. 배도 죠 사진처럼 먹기좋게 썰어주세요.', '잘 절여진 오이는 물기를 제거해주세요. 물기제거한 오이+배를 볼에 담고 미리 만들어둔 양념장을 넣어', '요렇게 빨갛게 버무려주세요.', '아삭아삭 소리가 나는 맛있는 오이배김치완성입니다. 만들기도 간편하고 맛도 좋고, 양념장이 잘 베어든 배. 요거랑 금방지은 따뜻한 밥한공기면 마음속까지 든든해진답니다.']"
시원한 맛 굴깍두기,굴깍두기, 무 생굴 잔파 미지근한 굵은 새우젓 다진 생강 고춧가루,"['무는 손질해서 깨끗이 씻어두고', '무를 주사위 모양으로 썰어서 소금에 절여 약 30분 정도 두었다가 씻어서 물기를 빼두고', '굴은 소금물에 살살 흔들어서 씻어 건져두고, 새우젓은 잘게 다지고', '미지근한 물에 불린 고춧가루로 먼저 무를 빨갛게 물들인 다음', '새우젓갈과 양념을 넣고 버무리다가 잔파를 넣고 살살 버무리고', '마지막으로 굴을 넣고 살짝 버무리면 끝.']"
만드는 법은 간단하고 맛은 일품인 총각김치,총각김치, 재료 알타리무 쪽파 물 굵은소금 찹쌀가루 물 고춧가루 멸치액젓 새우젓 다진마늘 갈은 설탕,"['먼저 알타리무(3단)는 무와 무청사이의 흙을 칼로 다듬어준 뒤, 흐르는 물에 2번정도 씻어줍니다. 저는 무에 상처가 나지 않도록. 부드러운 수세미로 겉 흙만 제거할 정도로 닦아주었습니다.', '그리고 굵은소금(3컵)을 뿌린 뒤, 물(3L)를 부어 2시간정도 절여줍니다. 무를 썰지 않고 절이므로 좀 오래 절여야해요. 2시간이 정닥하답니다. 알타리무 1단당 굵은소금 1컵, 물 1L를 부어주심 되어요. 좀 더 빨리 절이고 하려면 알타리무를 2등분해서 1시간정도 절이면 됩니다.', '무가 절여질동안 찹쌀풀을 만드는데요. 냄비에 찹쌀가루(3), 물(2컵)을 부어 덩어리 없이 잘 풀고, 불에 올려 숟가락으로 저어가며 끓입니다. 보글보글 끓으면 1분정도 더 저어가며 걸쭉하게 끓여준 뒤 찹쌀풀을 만듭니다. 찹쌀가루가 없다면 찹쌀가루 대신 밀가루(3)를 넣어주세요. 그럼 밀가루풀이 됩니다.', '고춧가루(3컵)+ 멸치액젓(1컵)+ 새우젓(4)+ 다진마늘(6)+ 양파갈은것(1컵)+ 설탕(4.5) 위 재료와 위에서 만든 찹쌀풀을 넣어 양념장을 만들고, 양파를 갈아서 넣으면 시원하니 맛있답니다.', '쪽파(1/2단)는 깨끗이 다듬어 손가락 길이만큼 썰어 준비합니다.', '2시간정도 절여진 알타리무는 흐르는물에 2번정도 깨끗이 헹궈 체반에 받쳐 물기를 빼준 뒤, 쪽파(1/2단), 양념장을 넣고 살살 밑에서 위로 버무려줍니다. 무청이 떨어지지 않게 두손으로 살살 버무려주세요.', '그리고 무청은 떨어지지 않게 무에 돌돌 감고', '김치통에 나란히 차곡차곡 담아준 뒤, 실온에서 2일정도 숙성시켜 냉장보관하면 됩니다. 알타리무를 썰지 않아서 좀 오래 숙성시켜야 익어요. 전 이틀정도 실온에 둔 뒤 냉장보관했습니다. 그리고 먹을때 2등분으로 해서 먹었습니다. 꼭 익으면 냉장보관 하시구요. 냉장고에서 익으면 맛이 없답니다. 실온에 두면 국물도 자작하게 나와서 걸쭉해집니다.']"
양념 조개젓갈,조개젓갈, 조개젓 대파 청양고추 통마늘 고춧가루 설탕 참기름 통깨,"['시장에서 사온 삭힌 조개젓이에요. 약 450g정도 되더라구요.. 종이컵으로는 2컵정도가 나오구요. 이 정도 양이면 약 5~6처넌이면 구입하실 수 있을거에요. 뭐 파는곳마다 다를 수 있겠지만용. 그리고 조개젓을 물로 헹구거나 하시믄 안되용. 모든 젓갈류는 물로 헹구게 되면 맛이 떨어진답니다. 좋은 젓갈은 그렇게 짜지 않으니 구입하실때 주의하세용.', '대파(1뿌리), 청양고추(2개), 통마늘(5쪽)은 잘게 다지고, 잘게 다진 양이 대파는 4큰술정도, 청양고추는 2큰술, 마늘도 2큰술입니다.', '조개젓에 잘게 다진 모든 재료를 넣고 고춧가루(4), 설탕(1.5), 참기름(1), 통깨(1)를 넣어 섞어줍니다. 저는 아주 빠알간 양념으로 하기 위해 고춧가루를 많이 넣었어요. 빨간게 싫다 하심 조금만 넣어주심 되어요. 그래도 보기에 좋은떡이 맛있어 보인다고 약간 빨개야 더 맛나보이겠죵? 설탕은 1.5큰술만 넣었는데, 조개젓이 짜다 싶음 2큰술정도 넣어주심 되어요. 설탕 너무 많이 넣음 달아서 쫌 그래요.주의하세용.']"
은은한 바다의 맛 파래김치,파래김치, 물파래 통깨 멸치액젓 다진마늘 다진파 홍고추 청양고추,"['파래는 볼에 담아 굵은 소금을 넣고 조물 조물 주물러 여러번 씻어 낸 후 물기를 꼭 짠다.', '양념 재료를 준비한다 홍고추, 청양고추는 씨를 뺀 뒤 다진다. 다시 담아 보았더니 고추는 옆으로 곱게 채를 썰어도 좋더군요.', '양념을 골고루 섞은 후 파래와 함께 조물 조물 무친다.', '유리용기에 담아 하루 정도 실온에 두었다 매콤한 맛이 배면 냉장고에 넣어 둔다.', '사진 열심히 찍고나니 통깨 넣는 것을 깜빡 했어요 마지막에 통깨를 넣어주세요.', '약간 간간하고 매콤하고 생각보다 순한 맛이에요. 색다른 김치. 맘에 드는 맛이라 기분이 상큼하네요.']"
아삭아삭 깔끔한 오이 물김치,오이물김치, 오이 절이는 물 소금 양파 배 당근 붉은고추 쪽파(100g) 다진마늘 다진 소금 멸치액젓 설탕 찹쌀 물4~5 멸치액젓 소금,0
