레시피 제목,요리명,요리재료,레시피내용
샐러드계의 베스트셀러 토마토카프레제 샐러드,토마토카프레제샐러드, 토마토 바질 생모짜렐라치즈 양파 올리브오일 발사믹식초 꿀 소금 레몬즙 후춧가루,"['이렇게 재료를 준비했어요.', '토마토는 반으로 갈라 다시 편으로 썰어놓았구요.', '올리브오일과 발사믹식초를 2:1 비율로 만들어 꿀(혹은 설탕), 소금, 레몬즙, 통후춧가루를 살짝 갈아넣구요. 양파를 다져서 함께 섞었답니다. 소금을 조금 넉넉히 넣어야 간이 맞더라구요. 0.5스픈 팍~ 넣었구요. 토마토랑 설탕은 궁합이 안좋으니 꿀이나 설탕은 생략하면 더 좋을듯 싶네요.', '너무너무 쉬워요. 토마토랑 생모짜렐라치즈, 바질을 보기좋게 담은 다음 준비한 소스를 뿌려내면 끝~! 재료만 있다면 순식간에 완성할 수 있는 샐러드에요. 손님상에 내놓으면 보기도 좋고 칭찬받으실거에요~~']"
식감좋은 연어계란샐러드,연어계란샐러드, 양상 돈나 계란 훈제연어 소금 아일랜드,"['계란은 노른자와 흰자를 분리해주었어요. 사진에는 3개인데 하다보니 5개가 들어갔어요. 그리고 찜기에 마들렌 실리콘틀을 담아놓았는데요. 여기에 계란을 담아 쪄주려고요.', '흰자와 노른자를 분리해서 소금간을 아주 약간만 해준 다음 실리콘 마들렌틀에 1/2분량만 담아주었어요. 담다가 넘칠까봐 1회용 짤주머니에 담아 조심조심 짜주었답니다.', '그리고는 김이 팍 올라오는 찜기에 올려 약 3~5분간 쪄주세요. 계란이 금방 익더라구요.', '쪄진 계란을 꺼내 노른자 위에는 흰자를, 흰자 위에는 노른자를 각각 몰드에 가득 채워주세요.', '그리고는 김이 팍팍 오르는 찜기에 올려 다시 3~5분간 쪄주면 끝.', '이렇게 마들렌모양의 단단한 계란이 완성되지요.', '냉장실에서 해동한 손수제품인 훈제연어랑 아일랜드 드레싱, 양상추와 돈나물을 준비해서 양상추와 돈나물은 찬 물에 담가 아삭아삭하게 만든 후 야채탈수기에서 물기를 쫙 빼줍니다.', '접시에 양상치 담고 훈제연어 가운데 콕콕 박아주고 돈나물도 군데군데 꼽아주고 마들렌 모양의 계란도 접시 가장자리에 둘러 담아준 다음 먹기 직전에 아일랜드 드레싱을 뿌려주면 되지요.']"
직접만든 연두부샐러드,연두부샐러드, 불리지 물 한천가루 소금 참깨 요구르트 꿀 소금 레몬즙,"['백태 200g을 밤새도록 불리고 한천가루 1큰술(6g), 소금 0.5 작은술(2g)을 준비했어요.', '불린 콩에 물 1.5리터를 붓고 아주 곱게 갈아주었답니다. 믹서기는 계속 돌리면 모터에 열을 받아 고장나니까 잠시 멈추었다가 다시 돌리고 이렇게 여러번 반복하면 콩이 곱게 갈아집니다.', '곱게 갈아진 콩을 면보를 깐 체에 걸러 콩물을 완벽하게 받아놓아요.', '뒤적뒤적 섞어가면서 꼬옥 눌러준 다음 면보를 감싸 물기를 꼬옥 짜주세요.', '차가운 상태의 콩물에 분량의 한천가루를 넣고 잠시 불려주세요. (뜨거운 상태의 콩물에 한천가루를 넣으면 바로 익어서..몽글몽글 굴러다녀요.) 그 다음 가스불을 올려 끓여줍니다. 기포가 보글보글 올라올 정도 저어가며 끓여준 뒤 불을 끄세요. (어느 정도 온도를 올려주어야 한천이 굳어지는 성질이 있기 때문이지요.) 콩물에서는 거품이 유독 많이 올라오더라구요. 너무 오래 끓이면 거품 주체 못합니다.', '거품을 대충 제거한 콩물을 베이킹용 모양틀에 부어 찬 곳에서 굳혀주면 됩니다. 저는 저녁에 만들어서 베란다에 두었다가 아침에 보니 다 굳었더라구요. 베이킹몰드는 요렇게 몰랑몰랑한것이 좋아요. 나중에 꺼내기가 쉽거든요. 그리고 이 몰드에 콩물을 부을땐 딱딱한 쟁반 위에 올려놓고 부으셔야 나중에 이동할때 콩물이 쏟아지지 않아요.', '아침에 보니 콩물이 다 굳었네요.', '이렇게 아랫쪽을 눌러가며 꺼내면 되지요.', '이렇게 글락스락용기에 담아 냉장실에 보관해두었다가 2~3일 내로 다 드시면 됩니다.', '저는 연두부에 어린채소와 새싹채소를 올리고 드레싱 재료를 믹서에 갈아 준비했어요. 먹기 직전에 깨소스를 뿌려 먹으면 되지요. 식감이 거의 연두부와 똑같아요. 단, 한천과 콩물의 분량을 잘 지켜주셔야 합니다. 한천이 넘 많이 들어가면 딱딱하면서도 질긴 연두부가 될테니까요.']"
딸기견과류 샐러드,딸기견과류샐러드, 딸기 사과 귤 샐러드채소 방울토마토 아몬드 땅콩 피스타치오 딸기소 딸기 요구르트 꿀 레몬즙,0
쉬림프 딸기샐러드,쉬림프딸기샐러드, 새우 딸기 양상추 치커리 튀김가루 달걀 물 튀김가루 빵가루 맛술 소금 후춧가루 허니요플레 떠먹는 꿀 마요네즈 레몬즙,0
신선한 한접시 치킨 시저 샐러드,치킨시저샐러드, 로메인 양상추 하림 방울 파마산치즈 시저 노른자 우스터소스 백후추 엔초비 포도씨유 식초 파마산치즈 올리브 식빵 올리브유 파마산치즈가루 파슬리가루,0
든든한 피쉬케이크샐러드,샐러드, 명태살(다른 양파 빨강파프리카(또는 청고추 계란흰자 전분(또는 다진파슬리 샐러드야채 후추 소금 싸우전드드레싱,"['양파, 파프리카, 청고추는 모두 잘게 다져주세요. 이외에도 당근, 브로콜리등 집에있는 야채 털어보아요.', '동태살은 잘게 다져서 물기를 쪼옥 빼주세요. 야채도 물기를 쪼옥 빼주세요. 저는 냉동동태살을 사용했는데요. 흰살생선이면 뭐든지 좋아요. 전부치고 남은 냉동 생선을 이용하셔도 좋구요. 아니면 새우살이나 오징어를 다져서 사용해도 좋겠죠.', '다져서 물기를 뺀 동태살과 야채를 큰 볼에 넣고 전분가루 또는 밀가루1T, 계란흰자1/2개, 파슬리를 넣어주세요.', '요렇게 잘 섞어주시면 되요. 저는 흰자를 1개 다 넣었더니 묽어서 모양잡는데 힘들었답니다.', '동글동글 모양을 잡아준 다음에 후라이팬에 기름을 두르고 노릇노릇 안까지 익혀주세요. 두툼하게 부쳐주는게 보기도 좋고 맛도 좋아요.', '요렇게 노릇노릇 둥글둥글 이쁘게 피쉬케이크 완성. 말만 피쉬케이크고 한마디로 어묵 이라고 할수 있죵.', '미리 준비해둔 샐러드 야채와 함께 그릇에 이쁘게 담아주시면 완성. 저는 샐러드 야채에 로메인이랑 양상추, 치커리, 당근을 얇게 채썰어 사용했어요.', '피쉬케이크 위에 싸우전드드레싱을 올려주세요. 좋아하시는 드레싱을 올려주세요. 유자나 레몬즙을 이용한 상큼한 드레싱도 좋고 저처럼 마요네즈를 베이스로 한 고소한 드레싱도 좋아요. 다이어트 하시는 분들이라면 튀기지 말고 피쉬케이크를 쪄주세요.']"
샐러드샌 드위치,샐러드, 오븐스마일빵 양상추 칵테일 버터갈릭소스,"['오븐스마일빵 3개와 양상추, 칵테일새우살과 소스를 준비했어요. 새우살은 전자렌지에서 살짝 덥혀놓고 양상추는 뜯어서 찬 물에 담갔다가 야채탈수기로 물기를 빼두어요. (칵테일새우는 후숙새우라 내장도 제거되고 다 익혀져있는 상태랍니다.)전자레인지', '오븐스마일빵 중에서 플레인이에요. 빵의 가운데를 갈라 끝은 붙어있는 상태로 위에 계란물을 살짝 바르고', '오븐에 넣고 200도에서 3분~4분 정도 구워주면 됩니다.오븐', '용량이 작은 미니오븐이긴 하지만 두어번만 더 구워내면 되니까 간단하게 금방 빵만 구워내는 용도로는 경제적인 것 같아요.', '노릇하게 구워낸 오븐스마일빵과 소스, 새우살은 세로로 반 저며주고 양상추는 가늘게 채를 썰었답니다.', '새우살과 양상추를 함께 담고 버터갈릭소스를 부어서', '골고루 잘 섞어줍니다. 버터갈릭소스는 고소하면서도 달콤, 새콤한 맛이 나는 소스에요.', '버무려놓은 샐러드재료를 빵 가운데 넣어주면 완성.']"
김치감자샐러드,김치감자샐러드, 신김치 감자 양파 당근 대파 소금물 물 소금 마요네즈 마요네즈 참기름 통깨,"['신김치는 속을 털어내고 물에 씻어 물기를 제거한뒤 먹기좋게 채 썰어줍니다. 감자는 껍질을 벗겨 적당한 크기로 자른 다음 소금물에 감자를 넣고 15분 정도 푹 삶아서 물기를 뺀후 포테이토 매셔로 으깨주세요. 양파와 당근은 잘게 다져놓고 대파는 초록부분을 반 갈라 잘게 썰어주세요. 분량의 마요네즈 소스 재료를 넣고 소스를 만들어주세요.', '볼에 손질된 김치와 감자, 양파와 당근, 대파, 마요네즈소스를 넣고 버무려줍니다.', '감자샐러드에 김치만 더 들어갔다고 생각하심 될거 같은데요. 감자와마요네즈만으로 조금 느끼함을 느끼셨다면 김치로 입안을 개운하게 만들어줄 샐러드랍니다. 게다가 신김치로 만들어서 새콤함까지 전 너무나 만족한 샐러드랍니다. 여기에 계란 삶은거 넣어주셔도 좋을거 같구요. 옥수수캔, 다른 야채를 더 곁들이시면 또 하나의 멋진 샐러드가 탄생하게 될거에요.']"
패스트푸드점 코울슬로 만들기,코울슬로, 쌈배추 노랑파프리카 빨강파프리카 초록파프리카 유기농 마요네즈 머스타드소스 올리브유 레몬즙 식초 꿀 설탕 소금 후추,"['먼저 다지기에 야채를 넣고 다져주셔야 하는데요. 색이 연한 야채부터 다지기에 넣고 다져주세요. 먼저 쌈배추부터 다졌답니다. 2~3번 눌러서 돌렸는데 아주 고르게 아이들의 입에서 겉돌지 않을만큼 잘 다져졌어요.', '그 다음에 노랑 --> 빨강 --> 초록 파프리카 순으로 다져주세요. 양파도 있으심 좀 넣어주세요 맛이 한결 좋아요.', '볼에 잘 다져진 야채를 넣고 분량의 소스를 넣어 잘 버무려줍니다. 그래서 밀폐통에 담아 하루정도 냉장고에 보관하신뒤 드시면 됩니다.']"
