레시피 제목,요리명,요리재료,레시피내용
포실포실 부드러운 감자스프,감자스프, 감자(中) 생크림 우유 양파 베이컨 체다치즈 피자치즈 버터 육수,"['감자는 깨끗히 씻어서 삶아서 준비해주시구요.', '양파도 사진처럼 잘라주시거나 양파가 씹히시는게 싫으시면 잘게 다져서 준비해주세요.', '감자를 삶는 동안 감자스프 위에 올릴 토핑을 준비해보아용. 베이컨은 사진처럼 바삭하게 구워주신 다음 키친타올에 올려 기름을 빼주세요.', '바삭하게 구운 베이컨은 잘게 채썰어주시구요. 체다치즈랑 피자치즈 작게 잘라서 준비해주세요.', '그 다음 감자 1/2개는 작게 잘라주시구요. 나머지 감자는 생크림과 우유를 넣고 믹서기에 윙 갈아주세요.', '여기 저만의 비법. 포실포실하고 부드러운 감자스프를 만들기위해서는 이렇게 체에 한번더 걸러주세요. 그러면 더 부드러운 감자스프를 즐기실수 있어용.', '이제 맛있게 감자스프를 끓여보아요. 버터 1T를 약한불에서 녹여주세요.', '녹인 버터위에 양파를 넣고 달달 투명하게 볶아주세요.', '생크림과 우유, 감자를 간 것과 육수 1C을 넣어주세요. 육수는 치킨스톡을 쓰시는게 좋은데요. 없으시면 그냥 물을 넣어주셔도 괜찮아요. 여기에 소금간을 해주세요.', '약한불에서 보글보글 끓여주세요. 눌지않게 중간중간 잘 저어주시면서 농도가 질어지면 맛있는 감자스프 완성.', '짜잔. 요렇게 포실포실 맛있는 감자스프 완성. 여기에 후추가루만 톡톡 뿌려먹어도 맛있지만 미리 준비해놓은 토핑을 올려주자구요.', '베이컨이랑 치즈를 가득 올려주고 파슬리를 솔솔 뿌려주면 이제야 말로 웃백이 스타일 감자스프 완성. 치즈가 사르륵 녹아서 더 맛있답니다. 아주 포실포실 감자스프. 이렇게 크래커도 찍어먹으면 더 맛있어요. 빵이나 크래커와 함께 내어주면 아이들 간식으로도 좋아요. 간식으로도 좋고 한끼 식사로도 좋고, 모임때도 등갈비와 스테이크를 준비할때에피타이저로 감자스프를 내어도 좋겠죠?']"
식사대용으로 좋은 클램차우더스프,클램차우더스프, 대합 브로콜리 양송이 양파 감자 생크림 물 파슬리가루   밀가루 우유 올리브유(또는 올리브유 화이트와인 다진마늘 다진 소금 후춧가루,"['이렇게 재료를 손질해서 준비해두고 액체재료들은 계량해두고요.', '게조개는 내장을 빼고 잘게 썰고, 야채도 잘게 썰어두고', '팬에 올리브유 1큰술을 두르고 다진 마늘과 파를 볶다가 게조개를 넣고, 화이트와인 2큰술을 넣고 달달 볶다가', '야채를 넣어 함께 볶고', '물을 넣어 감자가 푹 익을 정도로 끓여서', '야채가 익는 동안 다른 팬에 올리브유를 두르고 밀가루를 볶다가 우유를 넣어 잠시 끓여서', '야채가 끓고 있는 곳에 넣어 함께 끓여줍니다.', '믹서기에 익힌 재료들을 넣고 생크림도 함께 넣어서', '건더기가 씹힐 정도로 잠시 갈아줍니다. (너무 곱게 갈지 않도록 주의)', '냄비에 다시 옮겨서', '소금과 후춧가루로 간하면 완성. 3인분기준으로 소금 1큰술 넣었구요. 후춧가루는 백후춧가루면 더 좋아요.', '게조개로 만든 클램차우더 완성.']"
프렌치 어니언 스프,어니언스프, 양파(中) 버터 물 모짜렐라치즈 치킨스톡 통후추(백후추) 소금,"['양파는 껍질을 까서 잘게 채썰어 준비 합니다. 코팅이 잘된 팬에 버터를 녹이고 양파를 볶아 줍니다. 센불에서 양파가 숨이 죽을 정도로 쉬지 않고 뒤적이며 5분 정도 볶아 줍니다.', '양파가 숨이 죽으면 약불로 줄여 양파색이 전체적으로 진한 갈색빛이 돌도록30분 정도 타지않게 뒤적거리며 양파를 캬라멜화 시켜 줍니다. 양파가 진한 갈색으로 볶아지면 치킨스톡을 넣고 물을 부어 끓여 줍니다.(치킨스톡 대신 닭육수나 소고기육수를 사용 하셔도 좋아요.)', '스프가 부글부글 끓으면 간을 보고 모자라는 간은 소금으로 맞춰준후 후추가루를 약간 뿌려 줍니다. 완성된 스프는 스프볼에 담고 구운 바게트를 올려 줍니다.(저는 통밀식빵) 위에 모짜렐라치즈를 소복히 올려 200도로 예열된 오븐에 치즈가 녹을 정도로 살짝 구워 줍니다.(전자레인지에 1~2분 정도 돌리셔도 되요.)전자레인지,오븐', '뜨끈뜨끈한 프렌치 어니언 스프 완성. 위에 치즈를 올려 구워주니 더 먹음직 스러워요.', '치즈가 주욱 늘어나는 치즈는 쫄깃쫄깃하고 몰랑몰랑한 양파와 빵이 씹을 틈도 없이 샤르르 녹아 버리네요. 깊고 구수한 양파향이 물씬 뜨거울때 마구 먹어 줬어요. 먹으면서 느낀건 이건 해장용 스프? 양파를 볶는 시간이 좀 오래 걸려서 그렇지 별다른 재료 없이 간단하고 맛있는 스프예요.']"
언제먹어도 구수한 양파감자스프,양파감자스프, 양파 감자 식빵 물 치킨스톡(큐빅모양) 피자치즈 식용유 소금 후춧가루,"['양파는 채썰어서 팬에 식용유를 두르고 양파가 노릇할 정도까지 달달 볶아 소금과 후춧가루로 간하고 물 2컵을 붓고 치킨스톡 1개를 넣고 끓입니다. (치킨스톡 없으시면 닭육수나 소고기육수, 아니면 그냥 물을 넣으세요.) 감자는 작고 얇팍하게 썰어 전자렌지에서 3분간 돌려 익힌 후 양파를 끓이는 곳에 함께 넣어 잘 섞어서전자레인지', '전자렌지에 가능한 글락스락용기에 담고 그 위에 식빵을 동그랗게 잘라 얹어서 피자치즈로 덮어요. 전자렌지에서 5~6분 정도 피자치즈가 녹으면 완성이에요. 전자렌지도 종류에 따라 강도가 각각 다르니 중간에 전자렌지문을 열어보시고 치즈가 다 녹았으면 꺼내주세요. 치즈는 오븐보다 전자렌지에서 훨씬 더 빨리 녹아요.', '양파감자스프 위에 파슬리가루를 솔솔 뿌려 허브빵과 함께 점심으로 먹었지요.']"
감자스프 끓이기,감자스프, 감자 키조개 양파 베이컨 물 올리브유 다진 대파 체다치즈 파슬리가루 소금 후춧가루   올리브유 밀가루 우유 파슬리가루 체다치즈,"['감자와 양파는 껍질을 깎고 키조개는 내장을 제거해둡니다. 베이컨은 기름기 없는 팬에 구워 키친타올에서 기름기를 쪽 뺀 후, 잘게 다져놓아요.', '팬에 올리브유를 두르고 다진 마늘을 볶다가 썰어둔 감자, 양파 키조개를 달달 볶다가', '여기에 물 3컵을 부어 센 불에서 끓이다가 끓기 시작하면 불을 줄여 10분간 끓입니다.', '감자가 말랑하니 다 익었을거에요.', '감자가 익어가는 동안 루(loux)를 만들어요. 팬에 올리브유 1큰술을 두르고 밀가루 1/4컵을 달달 볶다가 우유 1컵을 부어 바글바글 끓인 후 불을 끄고', '믹서기에 익혀낸 감자스프재료와 루재료를 함께 넣고 씹히는 것이 있을 정도로 살짝 갈아주세요. 너무 곱게 갈면 식감이 별로 좋지 않아요. 그냥 풀죽같거든요.', '믹서에 간 재료에 바삭하게 구워 기름기를 뺀 베이컨을 넣어 소금 1큰술과 후춧가루로 간해서 잠시 끓여줍니다.', '마지막에 실파나 대파를 잘게 썰어 넣고 살짝만 더 끓여주면 완성.', '그릇에 담고 체다치즈를 잘게 썰어 올리고 파슬리가루를 솔솔 뿌려줍니다.']"
브로콜리 스프,브로콜리스프, 브로콜리 감자 양파 보리죽가루 물 우유 버터 파마산치즈가루 피자치즈 소금 후춧가루,"['브로콜리는 송이를 하나하나 잘라낸 다음 끓는 물에 소금을 조금 넣고 살짝 데쳐서 채반에 물기를 빼놓습니다. 양파는 얇게 채썰고 감자도 반 갈라 얇게 썰어줍니다. 냄비에 버터를 넣고 양파를 볶다가 양파가 투명해지면 감자를 넣어 볶아줍니다. 감자가 어느 정도 익으면 브로콜리와 물을 붓고 보글보글 끓인 다음 믹서기에 넣어 갈아줍니다.', '여기에 보리죽가루와 우유를 넣고 끓여주다가 파마산 치즈가루와 피자치즈를 넣은 다음 한소끔 끓여줍니다. 전 좀 되직하게 된거 같아 우유를 좀더 부어주었답니다. 취향껏 소금과 후추간을 합니다.', '몸에도 좋고 맛도 좋아 아이들 간식으로 좋은 브로콜리 스프완성입니다.']"
따끈따끈 몸에 좋은 양파수프,양파스프, 양파 피자치즈 바게트빵 식용유 파슬리가루 국물 물 치킨스톡 간장 소금 후추,"['양파는 껍질을 벗겨서 두껍지도 얇지도 않게 썰어 주세요.', '달군 팬에 식용유를 3큰술 정도 뿌려주고 양파를 넣고 볶아 줍니다. 이때 소금을 아주 조금 넣고 볶아주면 양파에서 수분이 나와 타지않게 볶아 집니다. 약불에서 중불 사이에 가스불을 조절하고 20분간 양파를 볶아 주세요. 볶는 시간이 길지만 팬을 지켜보며 설거지나 다른 일을 하시며 가끔식 뒤섞어 주면서 볶아 주세요.', '양파가 투명하고 황금색으로 볶아 지면 팬에 국물재료를 넣어 주세요.', '이수프는 특이하게 간장으로 색과 맛을 내어 주면 더 깊은맛이 난답니다.', '5분정도 끓이다 불을 끄고 간을 보고 소금 후추를 뿌려 주세요.', '바게뜨빵이나 먹다 딱딱해진 빵을 오븐 예열하는 동안 오븐에 넣고 바삭하게 구워 주세요. 빵대신 감자를 삶아 잘라 넣어도 된답니다.오븐', '오븐에서도 안전한 내열용기에 양파수프를 담아주고 구워둔 빵을 조금만 잘라 넣어주세요. 빵을 많이 넣으면 국물을 모두 흡수해서 질척해 지니 빵은 조금만 넣고 만드세요.', '그뤼에 치즈가 있다면 좋겠지만 구하기 힘드니까 빵위에 피자치즈를 적당히 뿌려주고', '220도로 예열한 오븐에 10분간 구워 치즈가 노릇하게 구워지면 꺼내주세요 오븐이 없다면 전자렌지에 넣고 치즈만 녹으면 드셔도 될듯 합니다.전자레인지', '오븐에서 꺼낸후 파슬리가루를 뿌려 주세요.', '눅진하게 쭈욱 늘어나는 치즈와 부드러워진 양파 그리고 거의 녹아버린 빵이 어울려서 환상적인 맛을 내주는 양파 수프 입니다. 빵을 찍어 드시거나 밥과 함께 아침식사로 드시면 영양많고 몸에 좋은 한끼식사가 된답니다.']"
다이어트용 야채스프,야채스프, 감자 홍당무 양배추 양파 호박 피망 식용유(올리브유) 마늘 토마토페이스트 치킨스톡 소금 후추 파슬리가루,"['야채는 굵직굵직하게 썰어주고', '팬에 기름을 뿌리고 마늘, 양파를 먼저 볶다 향을 내주고 감자, 홍당무를 넣고 소금을 한꼬집넣어 달달볶아 줍니다.', '야채가 노릇노릇하게 볶아주세요. 소고기나 닭고기등을 넣어 만들때도 고기를 넣고 볶아서 만들어 줍니다.', '4인가족이 두끼를 먹을거라 저희집에서 제일 커다란 국솥으로 볶은 야채를 옮겨담아 수프를 끓였어요.', '물을 부워준후 치킨스톡과 토마토페이스트를 넣고 끓여 주기만 하면 됩니다. 큐브형치킨스톡과 토마토퓨레는 대형마트나 백화점 수입코너에서 구입 가능 합니다.', '물은 야채가 잠길정도로 충분히 넣어주고 중불로 끓이다', '국물이 반으로 졸아들면 소금 후추를 넣어 간을 해주세요.', '그릇에 담은후 파슬리가루를 뿌려주고 밥이나 빵과 함게 따듯하게 드세요. 전에 한참 양배추수프 다이어트가 유행했는데 저도 한번 따라 했지만 실패했던 경험이 생각나는군요. 한끼먹고 도저희 못먹었던 이유는 바로 소금 간을 안해서 먹어서 랍니다. 음식맛은 소금간이 좌우 한다는걸 매번 요리 할때마다 절감 하고 있어요. 냉장고 야채칸 청소도 하고 영양많은 다이어트수프도 끓여서 두끼나 해결하고 그야말로 도랑치고 가재 잡았습니다.']"
호박고구마스프,호박고구마스프, 호박고구마 양파 피자치 파슬리가루 버터 우유 물 파마산치즈가루 소금 후춧가,"['호박고구마는 삶거나 쪄준뒤 껍질을 벗기고 깍뚝썰어주세요. 양파는 채썰어주시구요.', '달구어진 팬에 버터를 녹이고, 채썰어둔 양파를 넣고 양파가 투명해질때까지 볶아주세요.', '양파가 투명해지면 호박고구마를 넣고 볶아주세요. 어느정도 볶아졌으면 불을 끄고 한감 식혀주세요. 길쭉하고 넓은볼에 볶아둔 양파랑 호박고구마+우유를 넣고 도깨비방망이로 휘리릭 갈아주세요. 물론, 각 가정에 있는 믹서기를 이용해도 된답니다.', '다시 팬에 붓고 불에 올린뒤 살짝이 끓어오르면 물과 파마산치즈가루를 넣고 끓이다가 소금과 후춧가루로 간을 맞춰주세요. 간은 각 가정의 입맛에 맞게', '스프그릇에 담고 피자치즈+파슬리가루를 뿌려주었어요. 부드러운 호박고구마스프 식빵없이 그냥 먹어도 든든하답니다.']"
자색고구마 스프,자색고구마스프, 자색고구마 캔옥수수 밀가루 버터 물 소금 설탕,"['팬에 버터를 녹인 후 밀가루를 넣어 달달 볶다가 물을 부어줍니다. 물 대신 우유를 넣어도 좋아요.', '고구마와 옥수수알은 블렌더에서 갈아주려고요. 분량의 옥수수 중에서 1컵만 넣고 갈아줍니다.', '순식간에 곱게 갈아지더라구요.', '간 고구마를 웍에 넣고 남은 옥수수알도 넣고 소금간과 설탕을 넣고 잠시만 끓여주면 완성~!', '걸쭉하게 드시려면 조금 더 끓여주시고 묽게 드시려면 물을 조금 더 첨가해주면 되니다. 취향껏 조절하세요.']"
