레시피 제목,요리명,요리재료,레시피내용
달콤하고 고소한 고구마 그라탕,고구마그라탕, 고구마 생크림 설탕 버터 아몬드슬라이 모짜렐라치즈 우유 박력분 노른자 설탕 바닐라오일 버터,"['먼저 전자레인지로 커스타드크림을 만들어요. 1. 노른자와 설탕, 바닐라오일을 잘 섞어 줍니다. 2. 1에 우유를 넣고 섞어 줍니다. 3. 체친 박력분을 2에 넣는다. 4. 3을 체에 한번 거른다. 5. 내열용기에 담고 랩을 씌워 전자레인지에 3분 돌린다. 6. 꺼내서 잘 섞어주고 다시 랩을 씌워 전자레인지에 3분 돌린다. 7. 꺼내서 섞어준후 버터를 한조각 넣어 녹여 준다. 8. 완성된 커스터드크림에 랩을 밀착시켜 냉장고에 넣고 차게 식힌다. 편집하다 보니 5번과 6번 사진이 바뀌었네요.전자레인지', '고구마는 껍질을 벗겨 삶은후 뜨거울때 바로 으깨 주세요.', '으깬 고구마에 설탕과 생크림, 버터를 넣고 잘 섞어 줍니다.', '그라탕용기에 고구마를 깔아 주고요.', '그위에 커스터드크림을 올려 주세요. 뭐 취향에 따라 듬뿍 올려 주셔도 되구요. 저는 0.7~1센티의 두깨로 올려 줬답니다.', '마지막으로 모짜렐라치즈와 아몬드 슬라이스를 올리고 210도로 예열된 오븐에 10~15분 정도 구워 줍니다. 온도와 시간은 자신의 오븐에 맞게 조절해 주세요.에어프라이어', '달콤하고 고소한 영양간식 고구마 그라탕 완성. 뜨거울때 드세요.', '치즈가 주욱 안에는 달콤한 커스타드 크림과 고구마가 샤르르. 바삭하게 구워진 아몬드슬라이스도 아주 고소하답니다. 요거요거 정말 부드럽고 맛있어요. 커스타드크림과 고구마, 그리고 모짜렐라치즈의 궁합이 정말 잘 맞는것 같아요. 요거 아이들 영양간식으로 정말 좋을것 같죠? 남녀노소 누가 먹어도 맛있다고 할것 같아요. 만들기도 쉽고 맛도 정말 좋답니다.']"
크림소스 햄 김치오믈렛,김치오믈렛, 계란 우유 굴소스 크림소 생크림 우유 버터 밀가루 소금 통조림햄(하이포크팜) 잘익은 밥 식용유,"['일단 햄은 먹기좋은 크기로 잘라 주세요. 기름을 두르지 않은 팬을 달궈 햄을 노릇노릇 구워 주세요. 김치와 함께 볶아도 되지만 미리 조리하면 더 맛있어요. 이상태로 그냥 먹어도 아주 맛있어요.', '햄이 노릇노릇 구워지면 기름을 두르고 미리 다져둔 김치를 넣고 센불에서 재발리 볶아 주세요. 김치가 볶아지면 준비한 밥을 넣고 잘 섞어주며 볶아 주면 되요.', '어느정도 볶아지면 굴소스로 간을 해주세요. 입맛에 맞게 넣어 주시면 되요.', '다 볶아진 햄 김치볶음밥 이예요. 이상태로 먹어도 맛있지만 잠시 제일 약불에서 따뜻하게 온도가 유지 되게 놔두시구요. 스크램블을 만들어요.', '계란을 풀어서 우유를 넣고 잘 섞어 체에 한번 걸러준후 기름을 약간 두른 팬에 계란을 부어 재빨리 휘저어 스크램블을 만들어요. 크림소스를 만드는데요. 요건 사실 볶음밥을 하면서 같이 만들어 주면 좋아요.', '팬에 버터를 녹이고 밀가루를 넣어 볶아 화이트루를 만들어 주세요. 여기에 분량의 우유와 생크림을 넣고 바글바글 끓여 주세요. 마지막에 소금으로 간을 해주시면 되요. 농도가 너무 걸쭉하면 우유를 더 첨가 하셔도 되요. 이제 모든 준비과정이 끝났어요. 좀 복잡해 보이지만 사실 별거 없어요.', '접시에 햄 김치 볶음밥을 담고 그위에 스크램블을 올리고', '크림소스를 빙 둘러가며 부어주면 완성.', '상상 이상의 맛 크림소스 햄 김치오믈렛 완성. 매콤 새콤한 김치볶음밥과 쫄깃쫄깃 씹히는 햄과 부드러운 스크램블을 얹어서 크림소스와 함께 떠 먹는 맛. 아. 이거 말로 표현 못해요.']"
 두부 샌드 그라탕,두부샌드그라탕, 두부 쇠고기 대파 피자치즈 포도씨유 소금 쇠고기양 진간장 핫소스 설탕 마늘 청주 참기름 후춧가루,0
깔끔하고 바삭한 맛의 등갈비 바베큐,등갈비바베큐, 등갈비 시판용 등갈비 생강술 통후추 월계수잎 허브소금,0
하나씩 들고 뜯어먹자 바베큐립,바베큐립, 등갈비 통후추 정향 청주 월계수잎 바비큐립소 바비큐소스 케찹 진간장 황설탕 핫소스 육수 마늘가루,"['등갈비는 일단 찬물에 담구어 핏물을 제거해주세요. 중간에 찬물을 갈아주며 핏물을 빼주시면 되요. 핏물이 완전히 빠졌으면 끓는물에 통후추+정향+월계수잎+청주를 넣고 등갈비를 넣어 삶아주세요. 집에 양파가 있으시면 넣어주시구요.', '바베큐립소스는 분량대로 소스팬에 넣고 뽀글뽀글 미리 만들어두세요. 다 삶아진 등갈비는 찬물에 헹구어 여분의 기름기를 제거하고 물기를 빼주세요. 저는 이번에 등갈비를 일일이 잘라주었어요. 통이 좋으시면 그냥 자르지말고 통으로 하셔도된답니다. 물기뺀 등갈비에 바베큐립소스를 넣고 섞어주세요. 이때, 등갈비의 살이 많은쪽에 살짝이 칼집을 좀 내주시면 더 좋겠죠? 양념이 잘 벤 등갈비는 저렇게 밀폐용기에 담아 재워두세요. 저는 바베큐립을 먹기전날 미리 만들어서 냉장고에 넣어둔답니다.', '오븐패에 저렇게 가지런히 담고 210도로 예열된 오븐에서 30-33분정도 구워주세요. 각 가정의 오븐사양이 다 다르므로, 온도와 시간을 가감해서 구워주세요..오븐']"
감자계란그라탕,감자계란그라탕, 계란 감자 양파 피자치즈 소 파슬리가루 크림소 버터 밀가루 우유,0
떡볶이 그라탕,떡볶이그라탕, 떡볶이떡 쫄면 대파 양파 어묵 피자치즈 버터 물 굴소스 간장 고춧가루 설탕 요리당 고추장,"['떡을 말랑말랑 하도록 한번 삶아줍니다.', '햄, 어묵, 양파, 떡을 넣고 시판 소스를 듬뿍 듬뿍 넣어 주세요.', '우유도 5큰술 정도를 넣기도 합니다.(생략 가능)', '오븐에 넣을꺼라 불 안키고 그냥 비비기만 하세요.', '소스 듬뿍 잘 버부러진 떡볶이에 피자치즈를 듬뿍 올려주세요.', '예열 없이 180도 오븐에 10분 돌려주면 됩니다.오븐']"
김치볶음밥그라탕,김치볶음밥그라탕, 아삭한김치 베이컨 청피망 양파 슬라이스치즈 피자치즈 밥 굴소스 김치국물 오일 파슬리가루,0
새송이버섯 라이스그라탕,새송이버섯라이스그라탕, 밥 새우살 새송이버섯 당근 양파 피망 버터 백포도주 피자치즈 소금 후추 방울토마토 파마산치즈가루 건파슬리가루 밀가루 버터 우유 소금 후추,0
바질 대신 깻잎으로 깻잎 페스토에 버무린 푸실리 ,푸실리, 푸실리 물 굵은 깻잎페스토재 깻잎 잣 마늘 올리브오일 소금 파마산 통후추,0
