레시피 제목,요리명,요리재료,레시피내용
치즈가 듬뿍 치즈김치전,치즈김치전, 밀가루 달걀 김치 물,"['분량의 재료를 준비해서', '날가루가 날리지 않도록 잘섞어줍니다. 세가지 재료를 모두 섞은 다음 되기를 조절하면서 물을 추가해주세요.', '기름 두른 팬에 노릇하게 구워냅니다.', '기름 바른 팬에 올려 치즈를 얹고 180도 정도로 예열된 오븐에서 10~15분 정도 치즈가 노릇할정도로 구워냅니다.(후라이팬에서 약불 한담에 바로 치즈 올려서 뚜껑덮어서 치즈 녹여주셔도 좋아요.)오븐', '항상 예찬하지만 치즈랑 김치는 넘 잘어울리는거같아요. 서로 고소하고 매콤한 맛을 유지하면서도 잘어울리는 느낌. 혼자만의 생각일수도 있습니다만.']"
불고기로 만든 스테이크,스테이크, 소불고기 건자두 바질 슬라이스치즈 진간장 설탕 참기름 후추 다진,"['건자두와 바질은 너무 곱게 다지지 말고 대충 썰어 줍니다. 불고기는 분량의 양념을 넣어 가볍게 주물러 양념이 베이게 합니다. 사진처럼 양념된 불고기 펴고 바질와 건자두를 솔솔 뿌려준뒤 슬라이스치즈를 두번 접어 소고기로 꼼꼼하게 싸주세요.', '예열된팬에 기름을 2큰술정도 넣고 아주 약한불로 익혀 줍니다. 뚜껑을 덮어야 잘 익겠죠? 물론 오븐에 구우셔도 상관없어요. 180도로 15분 정도면 잘 익을껍니다.오븐', '다 익었다 싶으면 또 다른 슬라이스 치즈를 올리고 뚜껑을 덮어 놓으면 여열로 치즈가 부드럽게 녹을꺼예요. 속에 넣는 치즈나, 위에 올린 치즈 모두 취향에 따라 가감하셔도 되고 속에 넣는 치즈는 모짜렐라 치즈로 해도 좋지요.']"
감자간식 2가지,감자, 감자 모짜렐라치 방울토마토,"['감자는 껍질째 찌거나 전자렌지에서 익혀 줍니다.전자레인지', '방울토마토는 꼭지 뒷면에 열십자를 내어 끓는 물에 살짝 데칩니다. 집에 토마토가 신선하지 않아 넣어 보았습니다. 토마토는 개인 취향에 따라 넣어 주세요.', '잘게 다져 체에 넣어 물기를 빼 줍니다.', '감자전분은 토마토를 넣을 경우 3큰술 토마토를 넣지 않을 경우 1큰술을 넣어 줍니다.', '반죽을 다 섞어서 동그랗게 빚어 줍니다.', '팬에 기름을 조금 두르고 감자를 넣고 겉만 익혀 줍니다. 접시에 담아 케찹과 곁들여 맛나게 드시면 완성입니다.', '완성된 모습입니다.', '또 다른 감자 간식을 소개합니다.감자를 0.8~1cm 두께로 썰어 물에 30분간 둡니다.', '종이페이퍼나 면보로 감자전분의 수분을 닦아 줍니다.', '달군팬에 기름을 3큰술 정도 넣고 감자를 굽습니다. (중약불에서 감자를 구워 주세요.) 겉만 타고 속이 익지 않으면 기름을 조금 더 넣어서 구워 주세요.', '다 구운 감자는 키친페이퍼로 기름기를 확실히 제거한 다음 파마산가루, 마른파슬리를 넣고 섞어 줍니다. 접시에 담아 맛나게 드시면 완성입니다.', '완성된 모습입니다.']"
쉽게 만들 수 있는 감자 간식 두가지,감자, 감자동그랑 감자(중) 모짜렐라치즈 방울토마토 파슬리가루 감자전분 감자 감자(소) 식용유 파마산가루 파슬리가루 소금 후추,"['방울토마토는 꼭지 뒷면에 열십자를 내어 끓는 물에 살짝 데칩니다. 집에 토마토가 신선하지 않아 넣어 보았습니다. 토마토는 개인 취향에 따라 넣어 주세요.', '잘게 다져 체에 넣어 물기를 빼 줍니다.', '삶은 감자, 토마토, 치즈, 마른 파슬리(또는 생파슬리), 감자전분 3큰술, 소금, 후추 감자전분은 토마토를 넣을 경우 3큰술 토마토를 넣지 않을 경우 1큰술을 넣어 줍니다.', '반죽을 다 섞어서 동그랗게 빚어 줍니다.', '팬에 기름을 조금 두르고 감자를 넣고 겉만 익혀 줍니다. 접시에 담아 케찹과 곁들여 맛나게 드시면 됩니다.', '감자칩. 감자를 0.5 ~0.7cm 두께로 썰어 물에 30분간 둡니다.', '종이페이퍼나 면보로 감자전분의 수분을 닦아 줍니다.', '달군팬에 기름을 3큰술 정도 넣고 감자를 굽습니다. (약불에서 뚜껑을 덮고 감자를 구워 주세요. ) 겉만 타고 속이 익지 않으면 기름을 조금 더 넣어서 구워 주세요.', '다 구운 감자는 키친페이퍼로 기름기를 확실히 제거한 다음 파마산가루, 마른파슬리를 넣고 섞어 줍니다. 접시에 담아 맛나게 드시면 됩니다.']"
파닭 만들기,파닭, 닭다리살 전분 튀김용기름 대파 소금 후추 청주 진간장 레몬즙 식초 설탕 청고추 홍고추1,"['달고기는 껍질을 벗겨 사용했습니다, 소금, 청주, 후추뿌려 밑가해준후물기를 제거해줍니다,', '전분을 골고루 입혀 약 10분정도 놓아둔후 예열된 기름에 넣어 바삭하게 튀겨줍니다,', '대파 채썰고 소스 재료 섞어 튀긴 달위에대파와 홍고추 올리고 간장 소스 뿌리면 완성입니다,']"
한입에 들어갈까요? 속을 채운 달걀요리,달걀, 걀 마요네즈 다진마늘 허브가루 프렌치드레싱 소금 후춧가루 프렌치드레 엑스트라버진올리브오일 사과식초 양파 마늘 토마토케첩 설탕 소금 후춧가루 디종머스터드 타바스코 우스터소스,"['프렌치드레싱을 만들어 볼까요? 양파는 잘게 다져주고, 마늘은 편으로 썰어서 준비합니다. 그런다음 프렌치드레싱의 모든 재료들을 한데 넣어서 잘 섞어주고, 그대로 서늘한 곳에 보관했다가 사용하시면 되어요. 바로 사용하는것보다는 하루정도 숙성기간을 두는게 더 좋은것 같아요. 생허브들이 있으면 참 좋겠지만~ 없으면 갖가지 허브가루들을 적당량씩 넣어서 대신해주세요.', '냄비에 달걀을 넣어주고, 달걀이 잠길정도로 물을 부어준다음 소금을 조금 넣어서 삶아주세요. 불에 올려서 끓기 시작하면 12~13분정도 더 끓이면 속까지 잘 익은 완숙이 됩니다. 삶은 달걀은 바로 찬물에 넣어서 식혀주고, 달걀이 식으면 껍질을 까서 달걀을 세로로 반 갈라주세요.', '흰자와 노른자는 따로 분리해주세요. 흰자는 그릇으로 사용할꺼구요, 노른자는 다른 재료들을 섞어서 흰자에 담아줄꺼예요. 달걀노른자는 고운 체에 내려서 볼에 담아줍니다. 포크로 으깨어주면 부드러운 맛이 조금 덜하니 체에 내려주세요.', '하루정도 숙성을 시킨 프렌치 드레싱은 건더기는 그대로 두고 국물만 넣어주시면 되요. 마요네즈, 다진마늘, 각종 허브가루를 넣어서 고루 섞어주고 소금과 후춧가루로 간을 해주세요.', '속을 채울 재료는 고무주걱으로 잘 섞어주어 부드럽게 만들어줍니다. 그런다음 원하는 깍지를 끼운 짤주머니에 넣어서 달걀흰자 위에 짜주세요. 짜준 노른자믹스 위에 파슬리가루를 살짝 뿌려서 접시에 담아내시면 완성입니다!']"
돼지고기 웰빙 가정요리대회  돼지고기 핑거푸드,돼지고기, 금 대추방울토마 돼지고기 양파 오레가 후 함초소 참기 통 빵가루 발사믹크림소 발사믹식 올리브,0
해피투게더 지성잡쌈,쌈, 라이스페이퍼 잡채 기름 칠리소 연겨자소,"['라이스페이퍼와 잡채를 준비해주세요. 따스한물에 라이스페이퍼를 담그어주세요.', '라이스페이퍼를 펼쳐놓고 잡채를 올려주시고 위에 것을 먼저 덮어주세요.', '양쪽을 덮어주시고 돌돌 말아주세요.', '달군팬에 기름을 두르고 노릇노릇 구워주시면 완성입니다. 칠리소스와 연겨자 소스를 곁들입니다.']"
해피투게더 지성의 잡쌈 만들기,쌈, 잡채 쌀피 오 따뜻한,"['냉장고에 있던 잡채가 넘 꼬들해 팬에 살짝 데웠습니다', '미지근한 물과 쌀피 준비했다 쌀피에 잡채 넣고 말았어요', '쌀피에 넣는 잡채의 양은 너무 조금은 흐믈거려 안되고 너무 많이 넣으면 팬에 지지면서 뒤적일 때 잘 터집니다', '한개 마는 사이 미리 말아놓은 쌀피는 말라요말아놓은 잡쌈에 위생팩을 씌워두세요', '팬에 오일을 두르고 굴려가며 지집니다', '팬에 지질 때 욕심내 다닥다닥 잡쌈을 놓지마세요 쌀피가 끈적거려 서로 붙거든요 약간 간격을 두고~~~', '노릇하게 구운 후에도 자기네들 끼리 붙기 때문에 조금씩 간격을 두고 쟁반에 덜어내거나 간격을 두고 접시에 담으셔야해요', '피넛월남쌈소스와 칠리소스', '끈적거리는 쌀피 때문에 굽거나 담을 때 서로 붙어 좀 불편했던 걸 김으로 말면 괜찮을 거 같단 생각이 들었어요 이미 구워진 잡쌈이지만 김에 돌돌 말아 팬에 구우니 이 또한 맛있네요.']"
아이들 간식으로 좋은 순대꼬치 ,순대꼬치, 마트순 튀김가루 케찹 간장 올리고당 통,"['제가 사온 마트표 순대인데요. 이건 이미 잘라져있어서 그냥 뎁혀서 바로 먹을때는 편하지만 순대꼬치로 만들기엔 길쭉한 순대가 더 좋을듯해요.', '일단 딱딱한 순대는 전자렌지에 돌려 살짝 해동시켜주시구요.전자레인지', '순대를 3개씩 꼬지에 꽂아줬어요. 만약 통으로 된 순대라면 적당한 길이만큼 자른뒤 꼬지에 꽂아주시면 더욱 편하게 만들수 있어요.', '튀김가루는 물을 섞어서 잘 개어주시는데요. 이때 농도는 너무 되직하지 않고 또로록 흐르는정도로 묽게 만들어주시면 된답니다.', '순대꼬치를 튀김물에 굴려서 튀김옷을 고루 입혀주세요.', '팬에 기름을 자작하게 붓고 예열을 해서 기름을 달군뒤 튀김옷 입은 순대꼬치를 살짝 넣어주세요. 이때 기름은 순대가 잠길만치 붓기보단 자작한 정도로만 부어서 굴려가며 튀겨주면 기름도 절약되고 덜 아깝죠.', '아이들간식이니 노릇노릇 익은 순대꼬치를 키친타올위에 올려 기름을 빼주세요.', '이제 소스를 만들텐데요. 소스는 팬에 케찹 2, 간장 1/2, 올리고당 1큰술 넣어 섞어서 바글바글 끓여주시면 완성되어요.', '바삭한 순대꼬치 위에 케찹소스를 숟가락으로 살짝 발라주신뒤 통깨를 솔솔 뿌려주면 아이들 간식이 뚝딱!']"
백종원 옥수수 치즈전,옥수수치즈전, 옥수수 치즈(선택) 식용 부침가루,"['커피잔으루 옥수수한컵을 물기 뺀 후에 보울에 담아주세요.', '모짜렐라 치즈 반컵을 넣어주세요.', '부침가루 반컵을 넣어주세요.', '물은 커피잔의 1/3만 넣어주세요.', '저어서 반죽을 해주세요.', '후라이팬을 달궈준 다음에 식용유를 전체에 싸악 뿌려주세요.', '그다음 잘저어서 반죽해준것을 이렇게 얇고 넓게 펴주시면 되세요.', '노릇노릇해질때까지 은은한 불에 익혀주세요.', '적당히 있은것 같으면 뒤집어서 또 익혀주세요. 원래 백종원 옥수수전은 요 위에 연유나 설탕을 뿌려야되요. 그러나 저는 꼬소하면서 달달한 맛이라서 그냥 요대로 해서 먹었어요.']"
치킨너겟으로 파닭 만들기,파닭, 치킨너 대파 간장 식초 물 레몬청 설탕 다진마,"['치킨너겟만 있으면 집에서 파닭 만들기도 아주 쉬워요~ 파 넉넉히 준비해주세요.', '파닭에서 제일 중요한 대파! 파채칼로 손질해주면 금세 된답니다.', '대파 3뿌리쯤 사용했나 봐요~', '파채는 찬물에 담아서 매운맛 빼줬고요.', '스텐 팬 달군 뒤 기름 두르고 치킨너겟 넣어서 구워줬어요.', '아이들 학교 앞에 분식집에서 파는 메뉴기도 하죠. 튀겨서 종이컵에 담아주면 왠지 밖에서 사 먹는 느낌 난다고 더 좋아하더라고요~', '분량의 파닭 소스 만들어주세요. 파닭 소스에 레몬 넣어줘도 되는데 저는 없어서 대신 레몬청 넣어줬네요. 그리고 올리브유 넣어줘도 좋다고 하던데 전 깔끔하게 먹기 위해 생략했어요.', '소스 만드는 동안 치킨텐더 노릇노릇하게 구워졌네요.', '이대로 케찹이나 머스타드 소스 뿌려서 먹어도 맛있죠~', '노릇노릇하게 구웠더니 고소한 향이 나더라고요.', '노릇하게 구운 치킨너겟에 파채 듬뿍 올려서 파닭 소스 곁들여내면 아이들 간식으로도 좋아요~', '파닭 소스는 먹기 직전 뿌려주세요~']"
|옥수수전| 달콤한 스위트콘치즈전♪,옥수수치즈전, 통조림 부침가루 물 모짜렐라치즈 파슬리가루,0
|혼자 해먹기| 너무나 맛난 치즈김치전,치즈김치전, 김 부침가 양 표고버 모짜렐라치 청량고 대파,0
